tempo,casos
1,1
2,1
3,2
4,3
5,5
6,6
7,9
8,12
9,15
10,19
11,24
12,31
13,38
14,47
15,58
16,71
17,87
18,105
19,127
20,152
21,182
22,217
23,258
24,305
25,361
26,425
27,500
28,586
29,686
30,801
31,934
32,1086
33,1262
34,1464
35,1695
36,1961
37,2265
38,2614
39,3013
40,3470
41,3992
42,4589
43,5269
44,6045
45,6928
46,7932
47,9072
48,10364
49,11824
50,13471
51,15323
52,17399
53,19717
54,22296
55,25150
56,28294
57,31736
58,35482
59,39530
60,43872
61,48492
62,53364
63,58454
64,63718
65,69105
66,74553
67,79996
68,85365
69,90586
70,95586
71,100295
72,104649
73,108587
74,112061
75,115027
76,117456
77,119325
78,120623
79,121347
80,121506
81,121112
82,120187
83,118758
84,116858
85,114522
86,111788
87,108698
88,105294
89,101618
90,97714
91,93623
92,89387
93,85046
94,80637
95,76196
96,71757
97,67350
98,63003
99,58742
100,54588
101,50562
102,46679
103,42954
104,39397
105,36017
106,32820
107,29809
108,26986
109,24351
110,21902
111,19634
112,17544
113,15625
114,13870
115,12272
116,10823
117,9513
118,8334
119,7277
120,6333
121,5493
122,4748
123,4091
124,3513
125,3006
126,2564
127,2180
128,1847
129,1559
130,1312
131,1100
132,919
133,765
134,635
135,525
136,433
137,356
138,291
139,237
140,193
141,156
142,126
143,101
144,81
145,65
146,51
147,41
148,32
149,25
150,20
151,15
152,12
153,9
154,7
155,5
156,4
157,3
158,2
159,1
160,1
161,1
