Ilha1,Ilha2,Ilha3,Ilha4,Ilha5
1,1,1,1,1
1,2,2,1,1
2,3,3,2,3
3,6,6,4,5
5,11,10,5,9
6,19,17,8,15
9,33,28,11,23
11,53,44,14,36
14,86,68,19,54
18,137,105,25,81
23,215,160,32,119
29,335,241,41,173
36,517,358,52,248
44,791,528,66,352
54,1198,771,83,494
66,1802,1116,103,688
79,2688,1601,127,949
96,3977,2276,157,1297
115,5839,3209,192,1758
138,8504,4485,234,2364
165,12285,6214,283,3155
196,17595,8533,342,4179
233,24977,11613,410,5497
276,35121,15658,490,7185
326,48878,20908,581,9336
385,67265,27640,686,12067
454,91429,36156,805,15521
534,122576,46775,938,19879
627,161839,59815,1085,25370
735,210086,75562,1247,32279
861,267681,94248,1421,40968
1008,334258,116012,1608,51892
1179,408568,140880,1804,65621
1376,488511,168746,2007,82866
1606,571370,199378,2213,104497
1872,654237,232446,2417,131566
2179,734476,267561,2616,165301
2535,810106,304338,2804,207086
2945,879968,342450,2976,258386
3418,943696,381676,3126,320607
3962,1001552,421929,3252,394879
4586,1054213,463264,3348,481741
5300,1102588,505867,3412,580790
6115,1147682,550021,3441,690333
7043,1190520,596075,3436,807189
8096,1232106,644396,3395,926762
9287,1273420,695323,3322,1043449
10627,1315415,749120,3217,1151347
12129,1359037,805926,3086,1245057
13806,1405228,865706,2931,1320357
15666,1454942,928213,2758,1374565
17719,1509144,992946,2570,1406554
19972,1568813,1059132,2373,1416529
22427,1634931,1125722,2172,1405694
25084,1708467,1191409,1970,1375939
27938,1790346,1254674,1772,1329574
30980,1881411,1313857,1579,1269151
34193,1982364,1367241,1396,1197322
37556,2093704,1413148,1224,1116751
41040,2215637,1450035,1065,1030035
44613,2347990,1476583,919,939640
48232,2490114,1491761,787,847848
51853,2640798,1494878,668,756710
55426,2798207,1485610,563,668014
58896,2959854,1464002,471,583254
62208,3122624,1430463,391,503624
65306,3282860,1385727,322,430012
68135,3436500,1330822,263,363011
70643,3579267,1267014,213,302942
72783,3706887,1195753,172,249876
74515,3815315,1118609,137,203678
75807,3900940,1037216,109,164036
76634,3960758,953208,86,130506
76983,3992502,868171,67,102552
76850,3994718,783590,52,79579
76241,3966799,700811,40,60971
75173,3908980,621011,30,46114
73669,3822291,545179,23,34424
71763,3708489,474100,17,25359
69493,3569966,408354,13,18432
66904,3409640,348325,9,13217
64043,3230836,294205,7,9347
60960,3037155,246022,5,6519
57706,2832354,203654,3,4483
54331,2620216,166855,2,3039
50882,2404438,135286,1,2030
47405,2188527,108535,1,1337
43940,1975711,86144,0,867
40525,1768870,67633,0,554
37193,1570485,52519,0,348
33971,1382604,40331,0,216
30881,1206827,30624,0,131
27943,1044312,22990,0,79
25169,895786,17061,0,46
22569,761582,12515,0,27
20148,641674,9073,0,15
17909,535729,6499,0,8
15850,443154,4600,0,4
13969,363152,3217,0,2
12259,294777,2222,0,1
10714,236984,1515,0,0
9325,188674,1021,0,0
8083,148739,679,0,0
6978,116094,446,0,0
5999,89706,289,0,0
5138,68614,184,0,0
4382,51945,116,0,0
3723,38919,72,0,0
3150,28856,44,0,0
2655,21170,27,0,0
2229,15366,16,0,0
1863,11033,9,0,0
1552,7837,5,0,0
1287,5506,3,0,0
1064,3825,1,0,0
875,2628,0,0,0
717,1785,0,0,0
586,1198,0,0,0
476,795,0,0,0
385,522,0,0,0
311,338,0,0,0
250,216,0,0,0
200,137,0,0,0
159,85,0,0,0
126,53,0,0,0
100,32,0,0,0
78,19,0,0,0
61,11,0,0,0
48,6,0,0,0
37,3,0,0,0
29,2,0,0,0
22,1,0,0,0
17,0,0,0,0
13,0,0,0,0
10,0,0,0,0
7,0,0,0,0
5,0,0,0,0
4,0,0,0,0
3,0,0,0,0
2,0,0,0,0
